instrumentToken|instrumentName|name|lastPrice|expiry|strike|tickSize|lotSize|instrumentType|segment|exchange|isin|multiplier|exchangeToken|OptionType
13524|ARMANFIN|Arman Financial Services Ltd|1451.05|0|0|0.050000|1|EQ|CASH|NSE|INE109C01017|1|17263|- 
4943|AROGRANITE|Aro Granite Industries Ltd|48.35|0|0|0.050000|1|EQ|CASH|NSE|INE210C01013|1|14557|- 
4511|ARSHIYA|Arshiya Ltd|12.5|0|0|0.050000|1|EQ|CASH|NSE|INE968D01022|1|17821|- 
37169|ARTNIRMAN|Art Nirman Ltd|75|0|0|0.050000|1|EQ|CASH|NSE|INE738V01013|1|6156|- 
17481|ARTEMISMED|Artemis Medicare Services Ltd|62.95|0|0|0.050000|1|EQ|CASH|NSE|INE025R01021|1|16913|- 
30658|ARVEE|Arvee Laboratories (India) Ltd|90.8|0|0|0.050000|1|EQ|CASH|NSE|INE006Z01016|1|2814|- 
12351|ARVINDFASN|Arvind Fashions Ltd|343.05|0|0|0.050000|1|EQ|CASH|NSE|INE955V01021|1|9111|- 
784|ARVIND|Arvind Ltd|92.6|0|0|0.050000|1|EQ|CASH|NSE|INE034A01011|1|193|- 
12483|ARVSMART|Arvind SmartSpaces Ltd|265.7|0|0|0.050000|1|EQ|CASH|NSE|INE034S01021|1|10457|- 
215|ASAHIINDIA|Asahi India Glass Ltd|607.1|0|0|0.050000|1|EQ|CASH|NSE|INE439A01020|1|5378|- 
8799|ASAHISONG|Asahi Songwon Colors Ltd|295.35|0|0|0.050000|1|EQ|CASH|NSE|INE228I01012|1|25088|- 
429|ASHAPURMIN|Ashapura Minechem Ltd|89.6|0|0|0.050000|1|EQ|CASH|NSE|INE348A01023|1|203|- 
5349|ASHIANA|Ashiana Housing Ltd|160.3|0|0|0.050000|1|EQ|CASH|NSE|INE365D01021|1|24403|- 
786|ASHIMASYN|Ashima Ltd|14.95|0|0|0.050000|1|EQ|CASH|NSE|INE440A01010|1|206|- 
790|ASHOKLEY|Ashok Leyland Ltd|147.25|0|0|0.050000|1|EQ|CASH|NSE|INE208A01029|1|212|- 
10475|ASHOKA|Ashoka Buildcon Ltd|73.95|0|0|0.050000|1|EQ|CASH|NSE|INE442H01029|1|20182|- 
14550|ASIANENE|Asian Energy Services Ltd|72.75|0|0|0.050000|1|EQ|CASH|NSE|INE276G01015|1|7030|- 
8927|ASIANTILES|Asian Granito India Ltd|55.5|0|0|0.050000|1|EQ|CASH|NSE|INE022I01019|1|14889|- 
794|ASIANHOTNR|Asian Hotels (North) Ltd|90.15|0|0|0.050000|1|EQ|CASH|NSE|INE363A01022|1|18422|- 
797|ASIANPAINT|Asian Paints Ltd|3084.9|0|0|0.050000|1|EQ|CASH|NSE|INE021A01026|1|236|- 
13542|ASPINWALL|Aspinwall & Company Ltd|222|0|0|0.050000|1|EQ|CASH|NSE|INE991I01015|1|17270|- 
25391|ASALCBR|Associated Alcohols & Breweries Ltd|469.55|0|0|0.050000|1|EQ|CASH|NSE|INE073G01016|1|17598|- 
10026|ASTEC|Astec Lifesciences Ltd|2149.1|0|0|0.050000|1|EQ|CASH|NSE|INE563J01010|1|17728|- 
72378|ASTERDM|Aster DM Healthcare Ltd|243.85|0|0|0.050000|1|EQ|CASH|NSE|INE914M01019|1|1508|- 
4188|ASTRAMICRO|Astra Microwave Products Ltd|310.1|0|0|0.050000|1|EQ|CASH|NSE|INE386C01029|1|11618|- 
8688|ASTRAL|Astral Ltd|1986.65|0|0|0.050000|1|EQ|CASH|NSE|INE006I01046|1|14418|- 
804|ASTRAZEN|Astrazeneca Pharma India Ltd|3121.35|0|0|0.050000|1|EQ|CASH|NSE|INE203A01020|1|5610|- 
18809|ASTRON|Astron Paper & Board Mill Ltd|34.05|0|0|0.050000|1|EQ|CASH|NSE|INE646X01014|1|874|- 
6339|ATULAUTO|Atul Auto Ltd|278.9|0|0|0.050000|1|EQ|CASH|NSE|INE951D01028|1|30023|- 
813|ATUL|Atul Ltd|8201|0|0|0.050000|1|EQ|CASH|NSE|INE100A01010|1|263|- 
99043|AUBANK|AU Small Finance Bank Ltd|574.9|0|0|0.050000|1|EQ|CASH|NSE|INE949L01017|1|21238|- 
7567|AURIONPRO|Aurionpro Solutions Ltd|408.3|0|0|0.050000|1|EQ|CASH|NSE|INE132H01018|1|12022|- 
815|AUROPHARMA|Aurobindo Pharma Ltd|519.9|0|0|0.050000|1|EQ|CASH|NSE|INE406A01037|1|275|- 
38|AUSOMENT|Ausom Enterprise Ltd|68.2|0|0|0.050000|1|EQ|CASH|NSE|INE218C01016|1|4037|- 
8521|AUTOIND|Autoline Industries Ltd|112.85|0|0|0.050000|1|EQ|CASH|NSE|INE718H01014|1|14106|- 
817|AUTOAXLES|Automotive Axles Ltd|1913.3|0|0|0.050000|1|EQ|CASH|NSE|INE449A01011|1|278|- 
3879|ASAL|Automotive Stampings & Assemblies Ltd|380.55|0|0|0.050000|1|EQ|CASH|NSE|INE900C01027|1|10634|- 
35310|AVADHSUGAR|Avadh Sugar & Energy Ltd|487.65|0|0|0.050000|1|EQ|CASH|NSE|INE349W01017|1|21406|- 
4867|AVANTI|Avanti Feeds Ltd|453.2|0|0|0.050000|1|EQ|CASH|NSE|INE871C01038|1|7936|- 
24886|DMART|Avenue Supermarts Ltd|4235.6|0|0|0.050000|1|EQ|CASH|NSE|INE192R01011|1|19913|- 
14979|AVROIND|Avro India Ltd|119.8|0|0|0.050000|1|EQ|CASH|NSE|INE652Z01017|1|8827|- 
5121|AVTNPL|AVT Natural Products Ltd|114.35|0|0|0.050000|1|EQ|CASH|NSE|INE488D01021|1|14008|- 
34679|AXISBPSETF|Axis AAA Bond Plus SDL ETF-2026 Matur. Reg. Growth|10.46|0|0|0.010000|1|EQ|CASH|NSE|INF846K01Z04|1|3530|- 
2302|AXISBANK|Axis Bank Ltd|902.85|0|0|0.050000|1|EQ|CASH|NSE|INE238A01034|1|5900|- 
21638|AXISBNKETF|Axis Banking ETF|413.41|0|0|0.010000|1|EQ|CASH|NSE|INF846K01X63|1|1044|- 
10523|AXISGOLD|Axis Gold ETF|43.41|0|0|0.010000|1|EQ|CASH|NSE|INF846K01W80|1|20532|- 
7996|AXISNIFTY|Axis Nifty ETF|187.7|0|0|0.010000|1|EQ|CASH|NSE|INF846K01W98|1|21252|- 
33137|AXISHCETF|Axis Nifty Healthcare ETF|83.49|0|0|0.010000|1|EQ|CASH|NSE|INF846K01Z12|1|3608|- 
12200|AXISCETF|Axis Nifty India Consumption ETF|78.2|0|0|0.010000|1|EQ|CASH|NSE|INF846K016C7|1|5732|- 
12953|AXISTECETF|Axis Nifty IT ETF|297.57|0|0|0.010000|1|EQ|CASH|NSE|INF846K01Y96|1|3010|- 
14837|AXISILVER|Axis Silver ETF|57.59|0|0|0.010000|1|EQ|CASH|NSE|INF846K011K1|1|11193|- 
3647|AXISCADES|AXISCADES Technologies Ltd|234.35|0|0|0.050000|1|EQ|CASH|NSE|INE555B01013|1|9436|- 
12316|AXITA|Axita Cotton Ltd|34|0|0|0.050000|1|EQ|CASH|NSE|INE02EZ01022|1|9902|- 
12849|AYMSYNTEX|AYM Syntex Ltd|88.55|0|0|0.050000|1|EQ|CASH|NSE|INE193B01039|1|10285|- 
37066|BCP|B.C. Power Controls Ltd|5.2|0|0|0.050000|1|EQ|CASH|NSE|INE905P01028|1|11662|- 
7891|BLKASHYAP|B.L.Kashyap & Sons Ltd|27|0|0|0.050000|1|EQ|CASH|NSE|INE350H01032|1|13290|- 
9336|BAJAJ-AUTO|Bajaj Auto Ltd|3654.1|0|0|0.050000|1|EQ|CASH|NSE|INE917I01010|1|16669|- 
10376|BAJAJCON|Bajaj Consumer Care Ltd|154.85|0|0|0.050000|1|EQ|CASH|NSE|INE933K01021|1|19531|- 
4323|BAJAJELEC|Bajaj Electricals Ltd|1146.85|0|0|0.050000|1|EQ|CASH|NSE|INE193E01025|1|15034|- 
832|BAJFINANCE|Bajaj Finance Ltd|7102.9|0|0|0.050000|1|EQ|CASH|NSE|INE296A01024|1|317|- 
9339|BAJAJFINSV|Bajaj Finserv Ltd|1658.55|0|0|0.050000|1|EQ|CASH|NSE|INE918I01026|1|16675|- 
13045|BAJAJHCARE|Bajaj Healthcare Ltd|354.25|0|0|0.050000|1|EQ|CASH|NSE|INE411U01027|1|6863|- 
830|BAJAJHIND|Bajaj Hindusthan Sugar Ltd|10.4|0|0|0.050000|1|EQ|CASH|NSE|INE306A01021|1|308|- 
828|BAJAJHLDNG|Bajaj Holdings & Investment Ltd|6497.45|0|0|0.050000|1|EQ|CASH|NSE|INE118A01012|1|305|- 
5487|BALPHARMA|Bal Pharma Ltd|93.05|0|0|0.050000|1|EQ|CASH|NSE|INE083D01012|1|13441|- 
5952|BALAMINES|Balaji Amines Ltd|3100.85|0|0|0.050000|1|EQ|CASH|NSE|INE050E01027|1|14501|- 
3554|BALAJITELE|Balaji Telefilms Ltd|47.55|0|0|0.050000|1|EQ|CASH|NSE|INE794B01026|1|9158|- 
840|BALKRISIND|Balkrishna Industries Ltd|1947.2|0|0|0.050000|1|EQ|CASH|NSE|INE787D01026|1|335|- 
29305|BALKRISHNA|Balkrishna Paper Mills Ltd|34.9|0|0|0.050000|1|EQ|CASH|NSE|INE875R01011|1|10181|- 
434|BALMLAWRIE|Balmer Lawrie & Company Ltd|110.9|0|0|0.050000|1|EQ|CASH|NSE|INE164A01016|1|338|- 
843|BALRAMCHIN|Balrampur Chini Mills Ltd|332|0|0|0.050000|1|EQ|CASH|NSE|INE119A01028|1|341|- 
326|BANARBEADS|Banaras Beads Ltd|83.8|0|0|0.050000|1|EQ|CASH|NSE|INE655B01011|1|347|- 
328|BANCOINDIA|Banco Products (India) Ltd|189.45|0|0|0.050000|1|EQ|CASH|NSE|INE213C01025|1|13880|- 
41509|BANDHANBNK|Bandhan Bank Ltd|267.75|0|0|0.050000|1|EQ|CASH|NSE|INE545U01014|1|2263|- 
9247|BANG|Bang Overseas Ltd|49.4|0|0|0.050000|1|EQ|CASH|NSE|INE863I01016|1|15303|- 
847|BANKBARODA|Bank of Baroda|148.35|0|0|0.050000|1|EQ|CASH|NSE|INE028A01039|1|4668|- 
850|BANKINDIA|Bank of India|56.45|0|0|0.050000|1|EQ|CASH|NSE|INE084A01016|1|4745|- 
4030|MAHABANK|Bank of Maharashtra|20.95|0|0|0.050000|1|EQ|CASH|NSE|INE457A01014|1|11377|- 
16119|BANKA|Banka Bioloo Ltd|73|0|0|0.050000|1|EQ|CASH|NSE|INE862Y01015|1|822|- 
7591|BASML|Bannari Amman Spinning Mills Ltd|49.8|0|0|0.050000|1|EQ|CASH|NSE|INE186H01022|1|12034|- 
436|BANARISUG|Bannari Amman Sugars Ltd|2848.45|0|0|0.050000|1|EQ|CASH|NSE|INE459A01010|1|350|- 
4413|BANSWRAS|Banswara Syntex Ltd|101|0|0|0.050000|1|EQ|CASH|NSE|INE629D01020|1|14511|- 
12950|BARBEQUE|Barbeque-Nation Hospitality Ltd|1070.65|0|0|0.050000|1|EQ|CASH|NSE|INE382M01027|1|3127|- 
438|BASF|BASF India Ltd|2833.6|0|0|0.050000|1|EQ|CASH|NSE|INE373A01013|1|368|- 
858|BATAINDIA|Bata India Ltd|1804.2|0|0|0.050000|1|EQ|CASH|NSE|INE176A01028|1|371|- 
